YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
1997 - Driveway 14 - Fall,Driveway 14 - Fall,Westlind,433,1997,43.879727,-118.771662,1666,9,30,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - Driveway 17 - Fall,Driveway 17 - Fall,Westlind,229,1997,43.883609,-118.767495,1694,9,30,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - Driveway 26 - Fall,Driveway 26 - Fall,Westlind,280,1997,43.887222,-118.759722,1675,9,30,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - Driveway 28 - Fall,Driveway 28 - Fall,Westlind,165,1997,43.892227,-118.763891,1743,9,30,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - GRCA Outlet,GRCA Outlet,NPS,83,1997,36.225638,-112.079344,2536,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - GRCA Watson,GRCA Watson,NPS,118,1997,35.987166,-112.00473,2260,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - Kidd Flat - Fall,Kidd Flat - Fall,Westlind,325,1997,43.793888,-118.951678,1707,10,16,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - SEKI Huckleberry,SEKI Huckleberry,NPS,38,1997,36.55425865,-118.7570909,2061,8,20,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - Trout - Fall,Trout - Fall,Westlind,262,1997,43.811667,-118.933893,1652,10,16,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1997 - ZION East Mesa,ZION East Mesa,NPS,156,1997,37.291228,-112.90781,1999,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - ZION Three Finger Mesa,ZION Three Finger Mesa,NPS,35,1997,37.365783,-112.985737,2042,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - BAND 29,BAND 29,NPS,3,1998,35.814925,-106.345046,2205,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - BAND 30,BAND 30,NPS,3,1998,35.825164,-106.338865,2214,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - BRCA Residential,BRCA Residential,NPS,76,1998,37.635911,-112.178632,2421,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - Driveway 14 - Spring,Driveway 14 - Spring,Westlind,325,1998,43.879717,-118.771675,1665,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - Driveway 17 - Spring,Driveway 17 - Spring,Westlind,287,1998,43.883608,-118.767508,1694,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - Driveway 26 - Spring,Driveway 26 - Spring,Westlind,326,1998,43.887222,-118.759722,1675,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - Driveway 28 - Spring,Driveway 28 - Spring,Westlind,372,1998,43.892218,-118.76389,1743,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - GRCA Outlet,GRCA Outlet,NPS,64,1998,36.221788,-112.114753,2446,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - GRCA Topeka - Atchison 2,GRCA Topeka - Atchison 2,NPS,58,1998,36.03193,-112.154206,2059,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - Itasca State Park,Itasca State Park,Ayres,240,1998,47.194391,-95.164927,477,6,23,RX,Minnesota,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
1998 - Kidd Flat - Spring,Kidd Flat - Spring,Westlind,207,1998,43.793888,-118.951678,1707,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - Oak,Oak,Hanula,600,1998,30.333607,-82.500007,40,6,2,Wild,Florida,Individual trees within plots,"10 dominant or co-dominant trees closest to plot center, that were still living 3 months after fire",not available,Fire-insect Interactions; Tree Mortality,,,,
1998 - Oso,Oso,Cram,176,1998,36.020563,-106.317123,2568,6,27,Wild,New Mexico,Variable radius plot,2.296,not available,Fuel Treatment Effects,,,,
1998 - REDW Mainstem,REDW Mainstem,NPS,66,1998,41.127285,-123.869097,617,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - REDW Midbasin,REDW Midbasin,NPS,52,1998,41.137166,-123.888077,607,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - SEKI Broken Arrow,SEKI Broken Arrow,NPS,21,1998,36.557971,-118.766928,2047,9,28,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - SEKI Keyhole,SEKI Keyhole,NPS,18,1998,36.5591366,-118.7639826,2048,9,2,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - SEKI Picnic Estates,SEKI Picnic Estates,NPS,12,1998,36.792859,-118.668284,1426,7,31,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1998 - Trout - Spring,Trout - Spring,Westlind,204,1998,43.811658,-118.933892,1652,6,17,Rx,Oregon,Fixed-area plot,0.2,7.5, Fire-insect-disease Interactions; Tree Mortality,,,,
1998 - ZION Pocket Mesa,ZION Pocket Mesa,NPS,62,1998,37.360264,-113.057462,2368,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - BAND 38,BAND 38,NPS,1,1999,35.812281,-106.311886,2163,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - Bucks,Bucks,Hood,251,1999,39.885389,-121.312705,1546,8,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
1999 - ELMA El Calderon,ELMA El Calderon,NPS,13,1999,34.957996,-108.021372,2255,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - ELMA SW Cerro Bandera,ELMA SW Cerro Bandera,NPS,45,1999,34.973225,-108.12396,2335,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - GRCA Outlet,GRCA Outlet,NPS,46,1999,36.221782,-112.114742,2446,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - Rancheria Creek,Rancheria Creek,Progar,41,1999,42.526417,-122.664222,852,4,17,RX,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
1999 - SEKI Hercules,SEKI Hercules,NPS,15,1999,36.56936039,-118.7514646,2129,7,29,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - SEKI Mineral KingS10,SEKI Mineral KingS10,NPS,42,1999,36.466006,-118.693456,2309,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - Volcano Fall,Volcano Fall,Hood,84,1999,39.159805,-120.664729,1562,NA,NA,RX,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
1999 - ZION Northgate Peaks,ZION Northgate Peaks,NPS,23,1999,37.333868,-113.065915,2093,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - ZION Pine Valley Peak,ZION Pine Valley Peak,NPS,70,1999,37.340309,-113.090542,1937,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1999 - ZION Pocket Mesa,ZION Pocket Mesa,NPS,60,1999,37.360264,-113.057462,2368,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - BAND 01,BAND 01,NPS,705,2000,35.856023,-106.411378,2832,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - BAND 08,BAND 08,NPS,101,2000,35.835831,-106.401199,2781,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - BAND 27,BAND 27,NPS,42,2000,35.829153,-106.361715,2331,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - BAND 40,BAND 40,NPS,53,2000,35.792638,-106.280811,2011,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 156,Blue Mountains Hungry Bob OR 156,McIver,200,2000,45.67094,-117.158826,1202,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 157,Blue Mountains Hungry Bob OR 157,McIver,192,2000,45.657978,-117.172062,1248,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 160,Blue Mountains Hungry Bob OR 160,McIver,380,2000,45.64456,-117.252815,1379,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 163,Blue Mountains Hungry Bob OR 163,McIver,434,2000,45.62484,-117.240013,1303,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 166,Blue Mountains Hungry Bob OR 166,McIver,494,2000,45.636745,-117.20927,1359,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 168,Blue Mountains Hungry Bob OR 168,McIver,285,2000,45.685062,-117.171362,1182,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 169,Blue Mountains Hungry Bob OR 169,McIver,299,2000,45.685509,-117.167305,1159,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Blue Mountains Hungry Bob OR 171,Blue Mountains Hungry Bob OR 171,McIver,370,2000,45.672486,-117.160577,1209,NA,NA,RX,Oregon,Fixed-area plot,0.04,0,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Bobcat Gulch,Bobcat Gulch,Sieg,948,2000,40.478146,-105.296859,2062,6,14,Wild,Colorado,Fixed-area plot,0.2,5.1,Fire-insect Interactions; Tree Mortality,,,,
2000 - Boundary,Boundary,Smith,6,2000,44.142711,-110.811207,2205,8,26,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2000 - BRCA Puma,BRCA Puma,NPS,32,2000,37.519645,-112.270528,2631,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - GRCA Nankoweap,GRCA Nankoweap,NPS,61,2000,36.296682,-112.004242,2658,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - GRCA Outlet,GRCA Outlet,NPS,40,2000,36.284771,-112.002638,2643,NA,NA,Wild,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - GRCA Picnic,GRCA Picnic,NPS,59,2000,36.028902,-112.120139,2108,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - GRCA Quarry - Entrance,GRCA Quarry - Entrance,NPS,91,2000,36.024092,-112.130383,2099,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - GRCA Vista,GRCA Vista,NPS,142,2000,36.211957,-111.976068,2524,NA,NA,Wild,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2000 - Jasper,Jasper,Keyser,963,2000,43.815221,-103.877955,1870,8,24,Wild,South Dakota,Fixed-area plot,0.03,5,Forest Dynamics; Tree Mortality,,,,
2000 - Jasper,Jasper,Sieg,1244,2000,43.815221,-103.877955,1870,8,24,Wild,South Dakota,Fixed-area plot,0.2,5.1,Fire-insect Interactions; Tree Mortality,,,,
2000 - Mussigbrod,Mussigbrod,Hood,1102,2000,45.831896,-113.675814,2445,7,31,Wild,Montana,Fixed-area plot,0.04 and 0.09,12.7,Fire-insect Interactions; Tree Mortality,,,,
2000 - Pumpkin,Pumpkin,Sieg,1263,2000,35.41373,-111.853518,2807,5,25,Wild,Arizona,Fixed-area plot,0.2,5.1,Fire-insect Interactions; Tree Mortality,,,,
2000 - Scott Able,Scott Able,Cram,154,2000,32.764404,-105.605142,2511,5,11,Wild,New Mexico,Variable radius plot,2.296,not available,Fuel Treatment Effects,,,,
